number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_n_rnn_layers,state
52,0.15243086218833923,2025-05-15 12:06:20.606133,2025-05-15 12:09:38.609087,0 days 00:03:18.002954,16.0,0.3,10.0,0.0001,1.0,COMPLETE
53,0.149085134267807,2025-05-15 12:09:38.638602,2025-05-15 12:10:56.710458,0 days 00:01:18.071856,128.0,0.4,160.0,0.001,1.0,COMPLETE
54,0.14773444831371307,2025-05-15 12:10:56.742569,2025-05-15 12:12:58.457254,0 days 00:02:01.714685,16.0,0.5,160.0,0.001,1.0,COMPLETE
55,0.14773444831371307,2025-05-15 12:12:58.488796,2025-05-15 12:15:00.872394,0 days 00:02:02.383598,16.0,0.5,160.0,0.001,1.0,COMPLETE
56,0.14773444831371307,2025-05-15 12:15:00.910610,2025-05-15 12:17:03.009356,0 days 00:02:02.098746,16.0,0.5,160.0,0.001,1.0,COMPLETE
57,0.14773444831371307,2025-05-15 12:17:03.043421,2025-05-15 12:19:14.438921,0 days 00:02:11.395500,16.0,0.5,160.0,0.001,1.0,COMPLETE
58,0.1519288867712021,2025-05-15 12:19:14.473580,2025-05-15 12:20:21.550417,0 days 00:01:07.076837,256.0,0.3,40.0,0.001,1.0,COMPLETE
59,0.15081405639648438,2025-05-15 12:20:21.586587,2025-05-15 12:21:42.126510,0 days 00:01:20.539923,16.0,0.3,20.0,0.001,1.0,COMPLETE
60,0.150259867310524,2025-05-15 12:21:42.160113,2025-05-15 12:22:42.787052,0 days 00:01:00.626939,16.0,0.1,120.0,0.001,1.0,COMPLETE
61,0.16752804815769196,2025-05-15 12:22:42.817658,2025-05-15 12:24:41.068489,0 days 00:01:58.250831,32.0,0.5,160.0,0.001,3.0,COMPLETE
62,0.14918306469917297,2025-05-15 12:24:41.099028,2025-05-15 12:26:01.984028,0 days 00:01:20.885000,128.0,0.3,240.0,0.001,1.0,COMPLETE
63,0.15654464066028595,2025-05-15 12:26:02.018173,2025-05-15 12:33:35.113991,0 days 00:07:33.095818,16.0,0.3,160.0,0.0001,4.0,COMPLETE
64,0.14773444831371307,2025-05-15 12:33:35.141444,2025-05-15 12:35:38.478962,0 days 00:02:03.337518,16.0,0.3,160.0,0.001,1.0,COMPLETE
65,0.14773444831371307,2025-05-15 12:35:38.510029,2025-05-15 12:37:44.715584,0 days 00:02:06.205555,16.0,0.3,160.0,0.001,1.0,COMPLETE
66,0.1495385468006134,2025-05-15 12:37:44.747185,2025-05-15 12:39:43.402000,0 days 00:01:58.654815,16.0,0.3,10.0,0.001,1.0,COMPLETE
67,0.14773444831371307,2025-05-15 12:39:43.433544,2025-05-15 12:41:59.729114,0 days 00:02:16.295570,16.0,0.3,160.0,0.001,1.0,COMPLETE
68,0.14773444831371307,2025-05-15 12:41:59.769406,2025-05-15 12:44:20.745190,0 days 00:02:20.975784,16.0,0.3,160.0,0.001,1.0,COMPLETE
69,0.15706446766853333,2025-05-15 12:44:20.777804,2025-05-15 12:46:23.581273,0 days 00:02:02.803469,16.0,0.4,160.0,0.001,2.0,COMPLETE
70,0.15223988890647888,2025-05-15 12:46:23.616399,2025-05-15 12:48:01.918227,0 days 00:01:38.301828,16.0,0.2,160.0,0.01,1.0,COMPLETE
71,0.14984694123268127,2025-05-15 12:48:01.952820,2025-05-15 12:49:48.808585,0 days 00:01:46.855765,256.0,0.3,160.0,0.001,1.0,COMPLETE
72,0.15081405639648438,2025-05-15 12:49:48.861644,2025-05-15 12:51:38.376654,0 days 00:01:49.515010,16.0,0.3,20.0,0.001,1.0,COMPLETE
73,0.1499551683664322,2025-05-15 12:51:38.420449,2025-05-15 12:52:42.989651,0 days 00:01:04.569202,128.0,0.1,40.0,0.001,1.0,COMPLETE
